Breed,Group,URL
Clumber Spaniel,,https://www.akc.org/dog-breeds/clumber-spaniel/
Cocker Spaniel,,https://www.akc.org/dog-breeds/cocker-spaniel/
Collie,,https://www.akc.org/dog-breeds/collie/
Coton de Tulear,,https://www.akc.org/dog-breeds/coton-de-tulear/
Croatian Sheepdog,,https://www.akc.org/dog-breeds/croatian-sheepdog/
Curly-Coated Retriever,,https://www.akc.org/dog-breeds/curly-coated-retriever/
Czechoslovakian Vlciak,,https://www.akc.org/dog-breeds/czechoslovakian-vlciak/
Dachshund,,https://www.akc.org/dog-breeds/dachshund/
Dalmatian,,https://www.akc.org/dog-breeds/dalmatian/
Dandie Dinmont Terrier,,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/
Danish-Swedish Farmdog,,https://www.akc.org/dog-breeds/danish-swedish-farmdog/
Deutscher Wachtelhund,,https://www.akc.org/dog-breeds/deutscher-wachtelhund/
Doberman Pinscher,,https://www.akc.org/dog-breeds/doberman-pinscher/
Dogo Argentino,,https://www.akc.org/dog-breeds/dogo-argentino/
Dogue de Bordeaux,,https://www.akc.org/dog-breeds/dogue-de-bordeaux/
Drentsche Patrijshond,,https://www.akc.org/dog-breeds/drentsche-patrijshond/
Drever,,https://www.akc.org/dog-breeds/drever/
Dutch Shepherd,,https://www.akc.org/dog-breeds/dutch-shepherd/
English Cocker Spaniel,,https://www.akc.org/dog-breeds/english-cocker-spaniel/
English Foxhound,,https://www.akc.org/dog-breeds/english-foxhound/
English Setter,,https://www.akc.org/dog-breeds/english-setter/
English Springer Spaniel,,https://www.akc.org/dog-breeds/english-springer-spaniel/
English Toy Spaniel,,https://www.akc.org/dog-breeds/english-toy-spaniel/
Entlebucher Mountain Dog,,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/
Estrela Mountain Dog,,https://www.akc.org/dog-breeds/estrela-mountain-dog/
Eurasier,,https://www.akc.org/dog-breeds/eurasier/
Field Spaniel,,https://www.akc.org/dog-breeds/field-spaniel/
Finnish Lapphund,,https://www.akc.org/dog-breeds/finnish-lapphund/
Finnish Spitz,,https://www.akc.org/dog-breeds/finnish-spitz/
Flat-Coated Retriever,,https://www.akc.org/dog-breeds/flat-coated-retriever/
French Bulldog,,https://www.akc.org/dog-breeds/french-bulldog/
French Spaniel,,https://www.akc.org/dog-breeds/french-spaniel/
German Longhaired Pointer,,https://www.akc.org/dog-breeds/german-longhaired-pointer/
German Pinscher,,https://www.akc.org/dog-breeds/german-pinscher/
German Shepherd Dog,Herding Group,https://www.akc.org/dog-breeds/german-shepherd-dog/
German Shorthaired Pointer,,https://www.akc.org/dog-breeds/german-shorthaired-pointer/
German Spitz,,https://www.akc.org/dog-breeds/german-spitz/
German Wirehaired Pointer,,https://www.akc.org/dog-breeds/german-wirehaired-pointer/
Giant Schnauzer,,https://www.akc.org/dog-breeds/giant-schnauzer/
Glen of Imaal Terrier,,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/
Golden Retriever,Sporting Group,https://www.akc.org/dog-breeds/golden-retriever/
Gordon Setter,,https://www.akc.org/dog-breeds/gordon-setter/
Grand Basset Griffon Vendéen,,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/
Great Dane,,https://www.akc.org/dog-breeds/great-dane/
Great Pyrenees,,https://www.akc.org/dog-breeds/great-pyrenees/
Greater Swiss Mountain Dog,,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/
Greyhound,,https://www.akc.org/dog-breeds/greyhound/
Hamiltonstovare,,https://www.akc.org/dog-breeds/hamiltonstovare/
Hanoverian Scenthound,,https://www.akc.org/dog-breeds/hanoverian-scenthound/
Harrier,,https://www.akc.org/dog-breeds/harrier/
Havanese,,https://www.akc.org/dog-breeds/havanese/
Hokkaido,,https://www.akc.org/dog-breeds/hokkaido/
Hovawart,,https://www.akc.org/dog-breeds/hovawart/
Ibizan Hound,,https://www.akc.org/dog-breeds/ibizan-hound/
Icelandic Sheepdog,,https://www.akc.org/dog-breeds/icelandic-sheepdog/
Irish Red and White Setter,,https://www.akc.org/dog-breeds/irish-red-and-white-setter/
Irish Setter,,https://www.akc.org/dog-breeds/irish-setter/
Irish Terrier,,https://www.akc.org/dog-breeds/irish-terrier/
Irish Water Spaniel,,https://www.akc.org/dog-breeds/irish-water-spaniel/
Irish Wolfhound,,https://www.akc.org/dog-breeds/irish-wolfhound/
Italian Greyhound,,https://www.akc.org/dog-breeds/italian-greyhound/
Jagdterrier,,https://www.akc.org/dog-breeds/jagdterrier/
Japanese Akitainu,,https://www.akc.org/dog-breeds/japanese-akitainu/
Japanese Chin,,https://www.akc.org/dog-breeds/japanese-chin/
Japanese Spitz,,https://www.akc.org/dog-breeds/japanese-spitz/
Japanese Terrier,,https://www.akc.org/dog-breeds/japanese-terrier/
Kai Ken,,https://www.akc.org/dog-breeds/kai-ken/
Karelian Bear Dog,,https://www.akc.org/dog-breeds/karelian-bear-dog/
Keeshond,,https://www.akc.org/dog-breeds/keeshond/
Kerry Blue Terrier,,https://www.akc.org/dog-breeds/kerry-blue-terrier/
Kishu Ken,,https://www.akc.org/dog-breeds/kishu-ken/
Komondor,,https://www.akc.org/dog-breeds/komondor/
Korean Jindo Dog,,https://www.akc.org/dog-breeds/korean-jindo-dog/
Kromfohrlander,,https://www.akc.org/dog-breeds/kromfohrlander/
Kuvasz,,https://www.akc.org/dog-breeds/kuvasz/
Labrador Retriever,Sporting Group,https://www.akc.org/dog-breeds/labrador-retriever/
Lagotto Romagnolo,,https://www.akc.org/dog-breeds/lagotto-romagnolo/
Lakeland Terrier,,https://www.akc.org/dog-breeds/lakeland-terrier/
Lancashire Heeler,,https://www.akc.org/dog-breeds/lancashire-heeler/
Lapponian Herder,,https://www.akc.org/dog-breeds/lapponian-herder/
Large Munsterlander,,https://www.akc.org/dog-breeds/large-munsterlander/
Leonberger,,https://www.akc.org/dog-breeds/leonberger/
Lhasa Apso,,https://www.akc.org/dog-breeds/lhasa-apso/
Löwchen,,https://www.akc.org/dog-breeds/lowchen/
Maltese,,https://www.akc.org/dog-breeds/maltese/
Manchester Terrier (Standard),,https://www.akc.org/dog-breeds/manchester-terrier-standard/
Manchester Terrier (Toy),,https://www.akc.org/dog-breeds/manchester-terrier-toy/
Mastiff,,https://www.akc.org/dog-breeds/mastiff/
Miniature American Shepherd,,https://www.akc.org/dog-breeds/miniature-american-shepherd/
Miniature Bull Terrier,,https://www.akc.org/dog-breeds/miniature-bull-terrier/
Miniature Pinscher,,https://www.akc.org/dog-breeds/miniature-pinscher/
Miniature Schnauzer,,https://www.akc.org/dog-breeds/miniature-schnauzer/
Mountain Cur,,https://www.akc.org/dog-breeds/mountain-cur/
Mudi,,https://www.akc.org/dog-breeds/mudi/
Neapolitan Mastiff,,https://www.akc.org/dog-breeds/neapolitan-mastiff/
Nederlandse Kooikerhondje,,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/
Newfoundland,,https://www.akc.org/dog-breeds/newfoundland/
Norfolk Terrier,,https://www.akc.org/dog-breeds/norfolk-terrier/
Norrbottenspets,,https://www.akc.org/dog-breeds/norrbottenspets/
Norwegian Buhund,,https://www.akc.org/dog-breeds/norwegian-buhund/
Norwegian Elkhound,,https://www.akc.org/dog-breeds/norwegian-elkhound/
Norwegian Lundehund,,https://www.akc.org/dog-breeds/norwegian-lundehund/
Norwich Terrier,,https://www.akc.org/dog-breeds/norwich-terrier/
Nova Scotia Duck Tolling Retriever,,https://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever/
Old English Sheepdog,,https://www.akc.org/dog-breeds/old-english-sheepdog/
Otterhound,,https://www.akc.org/dog-breeds/otterhound/
Papillon,,https://www.akc.org/dog-breeds/papillon/
Parson Russell Terrier,,https://www.akc.org/dog-breeds/parson-russell-terrier/
Pekingese,,https://www.akc.org/dog-breeds/pekingese/
Pembroke Welsh Corgi,,https://www.akc.org/dog-breeds/pembroke-welsh-corgi/
Peruvian Inca Orchid,,https://www.akc.org/dog-breeds/peruvian-inca-orchid/
Petit Basset Griffon Vendéen,,https://www.akc.org/dog-breeds/petit-basset-griffon-vendeen/
Pharaoh Hound,,https://www.akc.org/dog-breeds/pharaoh-hound/
Plott Hound,,https://www.akc.org/dog-breeds/plott-hound/
Pointer,,https://www.akc.org/dog-breeds/pointer/
Polish Lowland Sheepdog,,https://www.akc.org/dog-breeds/polish-lowland-sheepdog/
Pomeranian,,https://www.akc.org/dog-breeds/pomeranian/
Pont-Audemer Spaniel,,https://www.akc.org/dog-breeds/pont-audemer-spaniel/
Poodle (Miniature),,https://www.akc.org/dog-breeds/poodle-miniature/
Poodle (Standard),,https://www.akc.org/dog-breeds/poodle-standard/
Poodle (Toy),,https://www.akc.org/dog-breeds/poodle-toy/
Porcelaine,,https://www.akc.org/dog-breeds/porcelaine/
