Breed,Category,URL
Chihuahua (Smooth Coat),Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/chihuahua-smooth-coat/
Chinese Crested,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/chinese-crested/
Chow Chow,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/chow-chow/
Cirneco Dell'Etna,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/cirneco-delletna/
Collie (Rough),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/collie-rough/
Collie (Smooth),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/collie-smooth/
Coton De Tulear,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/coton-de-tulear/
Dachshund (Long Haired),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/
Dachshund (Miniature Long Haired),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/dachshund-miniature-long-haired/
Dachshund (Miniature Smooth Haired),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/dachshund-miniature-smooth-haired/
Dachshund (Miniature Wire Haired),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/dachshund-miniature-wire-haired/
Dachshund (Smooth Haired),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/dachshund-smooth-haired/
Dachshund (Wire Haired),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/dachshund-wire-haired/
Dalmatian,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/dalmatian/
Dandie Dinmont Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/dandie-dinmont-terrier/
Deerhound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/deerhound/
Dobermann,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/dobermann/
Dogue de Bordeaux,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/dogue-de-bordeaux/
English Setter,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/english-setter/
English Toy Terrier (Black & Tan),Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/english-toy-terrier-black-tan/
Entlebucher Mountain Dog (Imp),Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/entlebucher-mountain-dog-imp/
Estrela Mountain Dog,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/estrela-mountain-dog/
Eurasier,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/eurasier/
Finnish Lapphund,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/finnish-lapphund/
Finnish Spitz,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/finnish-spitz/
Fox Terrier (Smooth),Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/fox-terrier-smooth/
Fox Terrier (Wire),Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/fox-terrier-wire/
Foxhound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/foxhound/
French Bulldog,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/french-bulldog/
German Longhaired Pointer,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/german-longhaired-pointer/
German Pinscher,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/german-pinscher/
German Shepherd Dog,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/german-shepherd-dog/
German Shorthaired Pointer,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/german-shorthaired-pointer/
German Spitz (Klein),Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/german-spitz-klein/
German Spitz (Mittel),Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/german-spitz-mittel/
German Wirehaired Pointer,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/german-wirehaired-pointer/
Giant Schnauzer,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/giant-schnauzer/
Glen Of Imaal Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/glen-of-imaal-terrier/
Gordon Setter,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/gordon-setter/
Grand Bleu De Gascogne (Imp),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/grand-bleu-de-gascogne-imp/
Great Dane,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/great-dane/
Great Swiss Mountain Dog,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/great-swiss-mountain-dog/
Greenland Dog,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/greenland-dog/
Greyhound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/greyhound/
Griffon Bruxellois,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/griffon-bruxellois/
Griffon Fauve De Bretagne (Imp),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/griffon-fauve-de-bretagne-imp/
Hamiltonstovare,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/hamiltonstovare/
Harrier,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/harrier/
Havanese,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/havanese/
Hovawart,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/hovawart/
