Breed,FCINumber,Section,Subsection,Country,Status,DateAcceptance,DateStandard,Language,WorkingTrial,URL
VOSTOTCHNO-SIBIRSKAÏA LAÏKA,305,Nordic Hunting Dogs,,"RUSSIAN FEDERATION",Recognized on a definitive basis,6/3/1980,10/13/2010,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/EAST-SIBERIAN-LAIKA-305.html
VÄSTGÖTASPETS,14,Nordic Watchdogs and Herders,,"SWEDEN",Recognized on a definitive basis,1/3/1954,10/29/2013,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SWEDISH-VALLHUND-14.html
WEIMARANER,99,Continental Pointing Dogs,«Braque»Type,"GERMANY",Recognized on a definitive basis,11/27/1954,3/19/2015,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/WEIMARANER-99.html
WELSH CORGI (CARDIGAN),38,Cattledogs (except Swiss Cattledogs),,"GREAT BRITAIN",Recognized on a definitive basis,11/12/1963,6/16/2022,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/WELSH-CORGI-CARDIGAN-38.html
WELSH CORGI (PEMBROKE),39,Cattledogs (except Swiss Cattledogs),,"GREAT BRITAIN",Recognized on a definitive basis,11/13/1963,6/16/2022,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/WELSH-CORGI-PEMBROKE-39.html
WELSH SPRINGER SPANIEL,126,Flushing Dogs,,"GREAT BRITAIN",Recognized on a definitive basis,12/30/1954,7/28/2009,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/WELSH-SPRINGER-SPANIEL-126.html
WELSH TERRIER,78,Large and medium sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,10/23/1954,10/13/2010,English,"Subject to a working trial for some countries",https://fci.be/en/nomenclature/WELSH-TERRIER-78.html
WEST HIGHLAND WHITE TERRIER,85,Small sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,10/29/1954,10/13/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/WEST-HIGHLAND-WHITE-TERRIER-85.html
WESTFÄLISCHE DACHSBRACKE,100,Scent hounds,Small-sized Hounds,"GERMANY",Recognized on a definitive basis,11/29/1954,6/24/1987,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/WESTPHALIAN-DACHSBRACKE-100.html
WETTERHOUN,221,Water Dogs,,"THE NETHERLANDS",Recognized on a definitive basis,12/21/1959,6/8/2023,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/WETTERHOUN-221.html
WHIPPET,162,Short-haired Sighthounds,,"GREAT BRITAIN",Recognized on a definitive basis,4/27/1955,9/4/2019,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/WHIPPET-162.html
XOLOITZCUINTLE,234,Primitive type,,"MEXICO",Recognized on a definitive basis,11/6/1961,10/8/2012,Spanish,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/XOLOITZCUINTLE-234.html
YAKUTSKAYA LAIKA,365,Nordic Sledge Dogs,,"RUSSIAN FEDERATION",Recognized on a provisional basis,,9/4/2019,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/YAKUTIAN-LAIKA-365.html
YORKSHIRE TERRIER,86,Toy Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,10/30/1954,11/10/2011,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/YORKSHIRE-TERRIER-86.html
YUZHNORUSSKAYA OVCHARKA,326,Sheepdogs,,"RUSSIAN FEDERATION",Recognized on a definitive basis,9/30/1983,8/22/2017,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SOUTH-RUSSIAN-SHEPHERD-DOG-326.html
ZAPADNO-SIBIRSKAÏA LAÏKA,306,Nordic Hunting Dogs,,"RUSSIAN FEDERATION",Recognized on a definitive basis,6/3/1980,10/13/2010,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/WEST-SIBERIAN-LAIKA-306.html
ZWERGPINSCHER,185,Pinscher and Schnauzer type,Pinscher,"GERMANY",Recognized on a definitive basis,7/14/1955,3/6/2007,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/MINIATURE-PINSCHER-185.html
ZWERGSCHNAUZER,183,Pinscher and Schnauzer type,Schnauzer,"GERMANY",Recognized on a definitive basis,7/13/1955,3/6/2007,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/MINIATURE-SCHNAUZER-183.html
ÍSLENSKUR FJÁRHUNDUR,289,Nordic Watchdogs and Herders,,"ICELAND",Recognized on a definitive basis,7/17/1972,6/15/2018,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/ICELANDIC-SHEEPDOG-289.html
ÖSTERREICHISCHER PINSCHER,64,Pinscher and Schnauzer type,Pinscher,"AUSTRIA",Recognized on a definitive basis,9/4/1954,3/25/2003,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRIAN-PINSCHER-64.html
