Breed,FCINumber,Section,Subsection,Country,Status,DateAcceptance,DateStandard,Language,WorkingTrial,URL
POITEVIN,24,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,9/30/1963,11/17/1978,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/POITEVIN-24.html
POLSKI OWCZAREK NIZINNY,251,Sheepdogs,,"POLAND",Recognized on a definitive basis,10/5/1963,8/7/1998,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/POLISH-LOWLAND-SHEEPDOG-251.html
POLSKI OWCZAREK PODHALANSKI,252,Sheepdogs,,"POLAND",Recognized on a definitive basis,10/5/1963,2/6/2025,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/POLISH-TATRA-SHEPHERD-252.html
PORCELAINE,30,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,10/26/1964,10/19/1964,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/PORCELAINE-30.html
POSAVSKI GONIC,154,Scent hounds,Medium-sized Hounds,"CROATIA",Recognized on a definitive basis,4/8/1955,11/3/2014,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/POSAVATZ-HOUND-154.html
PRAZSKY KRYSARIK,363,Continental Toy Spaniel and others,,"CZECH REPUBLIC",Recognized on a provisional basis,,2/20/2019,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/PRAGUE-RATTER-363.html
PRESA CANARIO,346,Molossian type,Mastiff type,"SPAIN",Recognized on a definitive basis,7/4/2011,9/23/2023,Spanish,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/PRESA-CANARIO-346.html
PUDELPOINTER,216,Continental Pointing Dogs,«Braque»Type,"GERMANY",Recognized on a definitive basis,11/13/1959,11/9/2004,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/PUDELPOINTER-216.html
PUG,253,Small Molossian type Dogs,,"CHINA",Recognized on a definitive basis,11/4/1966,8/10/2023,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/PUG-253.html
PULI,55,Sheepdogs,,"HUNGARY",Recognized on a definitive basis,8/11/1954,10/29/2013,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/PULI-55.html
PUMI,56,Sheepdogs,,"HUNGARY",Recognized on a definitive basis,8/11/1954,6/4/2000,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/PUMI-56.html
RAFEIRO DO ALENTEJO,96,Molossian type,Mountain type,"PORTUGAL",Recognized on a definitive basis,11/24/1954,11/4/2008,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/RAFEIRO-OF-ALENTEJO-96.html
RASTREADOR BRASILEIRO,275,Scent hounds,Large-sized Hounds,"BRAZIL",Recognized on a definitive basis,9/1/1967,9/4/2019,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BRAZILIAN-TRACKER-275.html
RATONERO BODEGUERO ANDALUZ,371,Large and medium sized Terriers,,"SPAIN",Recognized on a provisional basis,,9/3/2024,Spanish,"Subject to a working trial only for the countries having applied for it",https://fci.be/en/nomenclature/ANDALUSIAN-TERRIER-SHERRY-TERRIER-371.html
RHODESIAN RIDGEBACK,146,Related breeds,,"SOUTH AFRICA",Recognized on a definitive basis,2/21/1955,5/15/2025,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/RHODESIAN-RIDGEBACK-146.html
RIESENSCHNAUZER,181,Pinscher and Schnauzer type,Schnauzer,"GERMANY",Recognized on a definitive basis,7/11/1955,5/25/2021,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GIANT-SCHNAUZER-181.html
ROTTWEILER,147,Molossian type,Mastiff type,"GERMANY",Recognized on a definitive basis,1/1/1955,6/15/2018,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ROTTWEILER-147.html
RUSSKAYA PSOVAYA BORZAYA,193,Long-haired or fringed Sighthounds,,"RUSSIAN FEDERATION",Recognized on a definitive basis,1/13/1956,9/4/2019,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BORZOI-RUSSIAN-HUNTING-SIGHTHOUND-193.html
RUSSKIY TCHIORNY TERRIER,327,Pinscher and Schnauzer type,Tchiorny Terrier,"RUSSIAN FEDERATION",Recognized on a definitive basis,9/29/1983,10/13/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/RUSSIAN-BLACK-TERRIER-327.html
RUSSKIY TOY,352,Continental Toy Spaniel and others,,"RUSSIAN FEDERATION",Recognized on a definitive basis,11/7/2017,11/7/2017,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/RUSSIAN-TOY-352.html
RUSSKO-EVROPEÏSKAÏA LAÏKA,304,Nordic Hunting Dogs,,"RUSSIAN FEDERATION",Recognized on a definitive basis,6/3/1980,10/13/2010,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/RUSSIAN-EUROPEAN-LAIKA-304.html
RÖVIDSZÖRÜ MAGYAR VIZSLA,57,Continental Pointing Dogs,«Braque»Type,"HUNGARY",Recognized on a definitive basis,8/12/1954,4/6/2000,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/HUNGARIAN-SHORT-HAIRED-POINTER-VIZSLA-57.html
SAARLOOSWOLFHOND,311,Sheepdogs,,"THE NETHERLANDS",Recognized on a definitive basis,11/18/1981,11/3/2014,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SAARLOOS-WOLFHOND-311.html
SABUESO ESPAÑOL,204,Scent hounds,Medium-sized Hounds,"SPAIN",Recognized on a definitive basis,11/15/1957,5/26/1982,Spanish,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SPANISH-HOUND-204.html
SALUKI,269,Long-haired or fringed Sighthounds,,"MIDDLE EAST",Recognized on a definitive basis,4/8/1966,10/25/2000,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SALUKI-269.html
SAMOIEDSKAÏA SABAKA,212,Nordic Sledge Dogs,,"NORTHERN RUSSIA, SIBERIA",Recognized on a definitive basis,6/26/1959,9/4/2019,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SAMOYED-212.html
SCHILLERSTÖVARE,131,Scent hounds,Medium-sized Hounds,"SWEDEN",Recognized on a definitive basis,1/5/1955,8/22/2017,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SCHILLERSTOVARE-131.html
